RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0332,2938519,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.4,,31,,18,,Reem/RGR,,,,,,38.54066667,6.403,8.416,10.536,11.207,5.804,9.419,8.809,6.219,38.672,38.434,38.516,5.597,6.403,7.221,8.416,10.514,10.536,11.207,5.804,5.444,8.733,8.809,6.219,9.419,7.989,6.148
RGR0333,2938518,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.4,,30,,18,,Reem/RGR,,,,,,50.62,6.888,9.609,14.523,14.156,6.629,12.278,10.533,7.34,50.742,50.631,50.487,6.888,5.652,9.028,9.609,13.431,14.523,14.156,6.629,5.354,11.885,10.209,7.308,12.278,10.533,7.34
RGR0334,2938517,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,2.5,,29,,18,,Reem/RGR,,,,,,47.85333333,6.655,9.846,13.728,13.865,7.038,12.016,10.808,6.975,47.687,47.773,48.1,6.655,6.337,9.846,9.591,13.728,13.331,13.865,7.038,6.26,12.016,10.612,6.975,11.353,10.808,6.458
RGR0335,2938516,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.3,,30,,16,,Reem/RGR,,,,,,52.70433333,7.151,9.852,14.667,13.908,7.165,12.437,10.596,7.283,52.433,52.705,52.975,7.151,6.683,9.717,9.852,14.667,13.688,13.908,7.085,7.165,12.437,10.596,7.283,11.965,10.324,7.058
RGR0336,2938515,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.1,,28,,16,,Reem/RGR,,,,,,35.81666667,5.258,7.856,9.432,10.285,5.059,8.018,7.797,5.188,35.932,35.531,35.987,4.795,5.258,7.856,7.751,8.956,9.432,10.285,5.059,4.885,8.018,7.702,5.188,7.935,7.797,5.181
RGR0337,2938514,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.0,,29,,18,,Reem/RGR,,,,,,35.88133333,5.359,7.799,9.802,10.439,4.678,8.532,8.198,5.538,35.834,35.767,36.043,4.61,5.359,7.704,7.799,9.802,9.457,10.439,4.404,4.678,8.532,8.198,5.538,8.369,7.94,5.523
RGR0338,2938513,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.5,,29,,19,,Reem/RGR,,,,,,52.513,7.637,10.632,14.121,14.28,7.285,12.091,11.613,7.607,52.729,52.691,52.119,7.637,7.466,10.348,10.632,14.121,13.533,14.28,7.285,7.113,11.849,10.466,7.607,12.091,11.613,7.163
RGR0339,2938512,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,2.0,,27,,16,,Reem/RGR,,,,,,40.79566667,5.161,7.912,11.094,11.901,5.509,9.587,8.155,5.854,40.577,41.122,40.688,5.161,4.485,7.912,7.849,11.092,11.094,11.901,5.509,4.874,9.054,7.775,5.227,9.587,8.155,5.854
RGR0340,2938511,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.0,,30,,18,,Reem/RGR,,,,,,50.452,6.66,10.3,13.145,13.439,7.206,12.005,10.187,7.254,50.326,50.259,50.771,6.465,6.66,9.958,10.3,13.145,12.735,13.439,7.206,6.36,11.79,10.187,7.065,12.005,10.046,7.254
RGR0341,2938510,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.4,,29,,16,,Reem/RGR,,,,,,38.62233333,5.653,7.385,10.945,11.305,5.214,9.217,8.485,5.573,38.397,38.729,38.741,4.794,5.653,7.385,6.593,10.945,10.862,11.305,5.214,4.749,9.053,8.485,5.573,9.217,7.663,5.305
RGR0342,2938509,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.1,,28,,16,,Reem/RGR,,,,,,36.30366667,4.603,6.994,9.932,10.305,4.876,8.473,7.582,5.437,36.323,36.242,36.346,4.603,4.35,6.994,5.751,9.932,9.316,10.305,4.876,4.795,8.473,6.856,5.419,7.828,7.582,5.437
