RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0404,2938446,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0405,2938445,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0406,2938444,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0407,2938443,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0408,2938442,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0409,2938441,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0410,2938440,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0411,2938439,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0412,2938438,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0413,2938437,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0414,2938436,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0415,2938435,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0416,2938434,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
